,fdc_id,brand_owner,brand_name,subbrand_name,gtin_upc,ingredients,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,branded_food_category,data_source,package_weight,modified_date,available_date,market_country,discontinued_date,preparation_state_code,trade_channel
18240,1124144,"Tyson Foods, Inc.",,,23700051028,"BONELESS, SKINLESS CHICKEN BREAST WITH RIB MEAT, CHICKEN BROTH, VINEGAR, SEA SALT, NATURAL FLAVOR.",,112.0,g,,"Poultry, Chicken & Turkey",LI,,2020-04-08,2020-11-13,United States,,,
18275,1124179,"Tyson Foods, Inc.",,,23700050410,"BONELESS, SKINLESS CHICKEN BREAST FILLETS CONTAINING UP TO 32% OF A SOLUTION OF: TERIYAKI SAUCE [WATER, SOY SAUCE (WATER, SOYBEANS, WHEAT, SALT, LACTIC ACID, SODIUM BENZOATE), SUGAR, BROWN SUGAR, GARLIC, HONEY, MODIFIED FOOD STARCH, SPICES, SESAME OIL, CONTAINS 2 PERCENT OR LESS OF THE FOLLOWING: CARAMEL (COLOR), GARLIC CHILI SAUCE (SALTED CHILI PEPPER, GARLIC, SUGAR, RICE VINEGAR, WATER, MODIFIED CORN STARCH, ACETIC ACID), GARLIC POWDER, NATURAL FLAVORS, ONION POWDER, POTASSIUM CHLORIDE, SALT, SORBIC ACID (PRESERVATIVE), SOYBEANS, VINEGAR, XANTHAN GUM], WATER, VINEGAR, SALT, SEASONING [GUM ARABIC, CHICKEN BROTH POWDER, YEAST EXTRACT, SALT, NATURAL FLAVORS (INCLUDING SMOKE FLAVOR), SUNFLOWER OIL, VEGETABLE STOCK (CARROT, ONION, CELERY), MALTODEXTRIN, VEGETABLE EXTRACT (MOLASSES)].",,112.0,g,,"Poultry, Chicken & Turkey",LI,,2020-04-08,2020-11-13,United States,,,
18328,1124232,"Tyson Foods, Inc.",,,23700050427,"BONELESS, SKINLESS CHICKEN BREAST FILLETS CONTAINING UP TO 32% OF A SOLUTION OF: TOMATO BASIL SAUCE [WATER, TOMATO PASTE, TOMATO PUREE (WATER, TOMATO PASTE), TOMATOES, MODIFIED CORN STARCH, RED WINE, SALT, GARLIC, EXTRA VIRGIN OLIVE OIL, CONTAINS 2 PERCENT OR LESS OF THE FOLLOWING: BASIL, GARLIC POWDER, MONO AND DIGLYCERIDES, NATURAL FLAVORS, ONION, ONION POWDER, PORTABELLA MUSHROOMS, RED BELL PEPPER, SODIUM BENZOATE (PRESERVATIVE), SODIUM STEAROYL LACTYLATE, SORBIC ACID (PRESERVATIVE), SPICES, SUGAR, XANTHAN GUM], WATER, VINEGAR, SALT, SEASONING [GUM ARABIC, CHICKEN BROTH POWDER, YEAST EXTRACT, SALT, NATURAL FLAVORS (INCLUDING SMOKE FLAVOR), SUNFLOWER OIL, VEGETABLE STOCK (CARROT, ONION, CELERY), MALTODEXTRIN, VEGETABLE EXTRACT (MOLASSES)].",,112.0,g,,"Poultry, Chicken & Turkey",LI,,2020-04-08,2020-11-13,United States,,,
18330,1124234,"Tyson Foods, Inc.",,,23700050403,"BONELESS, SKINLESS CHICKEN BREAST FILLETS, CONTAINING UP TO 32% OF A SOLUTION OF: ADOBO SAUCE [WATER, TOMATO PASTE, SPICES, WITH 2 PERCENT OR LESS OF THE FOLLOWING: CORN STARCH, DRIED ONION, DRIED RED BELL PEPPER, GARLIC, LIME JUICE CONCENTRATE, NATURAL FLAVORS, PAPRIKA, SALT, SODIUM BENZOATE (PRESERVATIVE), SORBIC ACID (PRESERVATIVE), SUGAR, XANTHAN GUM, YEAST EXTRACT], WATER, VINEGAR, SALT, GUM ARABIC, CHICKEN BROTH POWDER, YEAST EXTRACT, NATURAL FLAVORS (INCLUDING SMOKE FLAVOR), SUNFLOWER OIL, VEGETABLE STOCK (CARROT, ONION, CELERY), MALTODEXTRIN, VEGETABLE EXTRACT (MOLASSES).",,112.0,g,,"Poultry, Chicken & Turkey",LI,,2020-04-08,2020-11-13,United States,,,
18882,1124786,"Tyson Foods, Inc.",,,23700050809,"BEEF, WATER, BLEACHED WHEAT FLOUR, WHEAT FLOUR, CONTAINS 2% OR LESS OF THE FOLLOWING: DEXTROSE, DRIED YEAST, EXTRACTIVES OF PAPRIKA, ANNATTO AND TURMERIC, LEAVENING (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, MONOCALCIUM PHOSPHATE), LEMON JUICE CONCENTRATE, MODIFIED FOOD STARCH, MODIFIED WHEAT STARCH, ONION POWDER, SALT, SODIUM PHOSPHATES, SPICES, SPICE EXTRACTIVES, SUGAR, WHEAT GLUTEN, YEAST, YELLOW CORN FLOUR. BREADING SET IN VEGETABLE OIL.",,86.0,g,,Frozen Appetizers & Hors D'oeuvres,LI,,2020-04-08,2020-11-13,United States,,,
20200,1126104,"Tyson Foods, Inc.",,,23700046864,"BONELESS, SKINLESS CHICKEN BREAST WITH RIB MEAT, WHEAT FLOUR, WATER, CONTAINS 2% OR LESS OF THE FOLLOWING: BROWN SUGAR, CARAMELIZED SUGAR, CORN STARCH, EXTRACTIVES OF PAPRIKA, FERMENTED RICE EXTRACT (RICE, SALT, RICE MALT), GARLIC POWDER, LEMON JUICE SOLIDS, MALTODEXTRIN, NATURAL FLAVORS, ONION POWDER, PALM OIL, SALT, SOYBEAN OIL, SPICE, SUGAR, TAPIOCA MALTODEXTRIN, WHEAT GLUTEN, YEAST, AND YEAST EXTRACT.",,113.0,g,,Frozen Dinners & Entrees,LI,,2020-04-08,2020-11-13,United States,,,
25622,1131526,"Tyson Foods, Inc.",,,23700050205,"CHICKEN: CHUNK WHITE CHICKEN, WATER, CONTAINS 2% OR LESS OF THE FOLLOWING: CHICKEN BROTH, FLAVORINGS, MODIFIED FOOD STARCH, SALT, SODIUM PHOSPHATES. WHEAT CRACKER: ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, VITAMIN B1 [THIAMIN MONONITRATE], VITAMIN B2 [RIBOFLAVIN], FOLIC ACID), WHOLE WHEAT FLOUR, CANOLA OIL WITH TBHQ FOR FRESHNESS, SUGAR, CONTAINS 2% OR LESS OF THE FOLLOWING: CARAMEL COLOR, CORN SYRUP, LEAVENING (BAKING SODA, SODIUM ACID PYROPHOSPHATE, MONOCALCIUM PHOSPHATE), MALT EXTRACT, ONION, SALT, SOY LECITHIN, WHEY. MAYONNAISE: SOYBEAN OIL, WATER, WHOLE EGG, EGG YOLKS, DISTILLED VINEGAR, CONTAINS LESS THAN 2% OF: SALT, SUGAR, LEMON JUICE CONCENTRATE, CALCIUM DISODIUM EDTA ADDED TO PROTECT FLAVOR, OLEORESIN PAPRIKA (COLOR), NATURAL FLAVOR (INCLUDES MUSTARD). RELISH: PICKLES (CUCUMBERS, SALT, CALCIUM CHLORIDE), WATER, DISTILLED WHITE VINEGAR, CABBAGE (CABBAGE, SALT), SALT, GUAR GUM, XANTHAN GUM, ALUM, POTASSIUM SORBATE (PRESERVATIVE), DEHYDRATED RED BELL PEPPERS, NATURAL FLAVORINGS, YELLOW 5, GARLIC EXTRACT.",,111.0,g,,Lunch Snacks & Combinations,LI,,2020-04-08,2020-11-13,United States,,,
27136,1133040,"Tyson Foods, Inc.",,,23700050960,"BONELESS, SKINLESS CHICKEN BREASTS WITH RIB MEAT, WATER, WHEAT FLOUR, CORN STARCH, CONTAINS 2% OR LESS OF THE FOLLOWING: CITRIC ACID, LEAVENING (CREAM OF TARTAR, BAKING SODA), MALTODEXTRIN, NATURAL FLAVORS, SALT, SAVORY FLAVOR (NATURAL FLAVOR, MALTODEXTRIN), SPICES (INCLUDING CELERY SEED), SPICES (INCLUDING DILL), SUGAR, VINEGAR POWDER (MALTODEXTRIN, VINEGAR), YEAST YEAST EXTRACT. BREADING SET IN VEGETABLE OIL.",,84.0,g,,Frozen Appetizers & Hors D'oeuvres,LI,,2020-04-08,2020-11-13,United States,,,
27607,1133511,"Tyson Foods, Inc.",,,23700051370,"BONELESS, SKINLESS CHICKEN BREAST WITH RIB MEAT, WHEAT FLOUR, WATER, CONTAINS 2% OR LESS OF THE FOLLOWING: BROWN SUGAR, CARAMELIZED SUGAR, CORN STARCH, EXTRACTIVES OF PAPRIKA, FERMENTED RICE EXTRACT (RICE, SALT, RICE MALT), GARLIC POWDER, LEMON JUICE SOLIDS, MALTODEXTRIN, NATURAL FLAVORS, ONION POWDER, PALM OIL, SALT, SOYBEAN OIL, SPICE, SUGAR, TAPIOCA MALTODEXTRIN, WHEAT GLUTEN, YEAST, AND YEAST EXTRACT.",,84.0,g,,Frozen Appetizers & Hors D'oeuvres,LI,,2020-04-08,2020-11-13,United States,,,
27909,1133813,"Tyson Foods, Inc.",,,23700050090,"BONELESS, SKINLESS CHICKEN BREAST CHUNKS WITH RIB MEAT, WHEAT FLOUR, WATER, CONTAINS 2% OR LESS OF THE FOLLOWING: BLACK PEPPER, BUTTERMILK SOLIDS, CHEDDAR CHEESE (MILK, CHEESE CULTURE, SALT, ENZYMES), CULTURED BUTTERMILK POWDER, EXTRACTIVES OF PAPRIKA AND TURMERIC, LACTIC ACID, LEAVENING (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, MONOCALCIUM PHOSPHATE), MALTODEXTRIN, MODIFIED FOOD STARCH, MODIFIED WHEAT STARCH, NATURAL FLAVORS, NATURAL SMOKE FLAVOR, SALT, SODIUM PHOSPHATES, SPICES, SUGAR, WHEAT GLUTEN, WHEY, YEAST EXTRACT, YEAST, YELLOW CORN FLOUR, BREADING SET IN VEGETABLE OIL.",,84.0,g,,Frozen Appetizers & Hors D'oeuvres,LI,,2020-04-08,2020-11-13,United States,,,
28297,1134201,"Tyson Foods, Inc.",,,23700051417,"CHICKEN WING SECTIONS, WATER, WHEAT FLOUR, CONTAINS 2% OR LESS OF THE FOLLOWING: CHICKEN BROTH, FLAVORINGS, MODIFIED FOOD STARCH, SALT, SODIUM PHOSPHATES, SUGAR, WHITE PEPPER.",,84.0,g,,Frozen Appetizers & Hors D'oeuvres,LI,,2020-04-08,2020-11-13,United States,,,
30146,1136050,"Tyson Foods, Inc.",,,23700050434,"BONELESS PORK CHOPS, WATER, AND SALT. RUBBED WITH: VINEGAR, SMOKED SUGAR (WATER, NATURAL HARDWOOD SMOKED SUGAR), SEASONING (SPICES, DRIED GARLIC, DRIED PARSLEY) AND SALT.",,112.0,g,,Other Meats,LI,,2020-04-08,2020-11-13,United States,,,
30151,1136055,"Tyson Foods, Inc.",,,23700050915,"BEEF SIRLOIN, WATER, AND SALT; RUBBED WITH: SMOKED SUGAR (WATER, NATURAL HARDWOOD SMOKED SUGAR), VINEGAR, SEASONING (SPICES, DRIED GARLIC, DRIED PARSLEY)",,112.0,g,,Other Meats,LI,,2020-04-08,2020-11-13,United States,,,
95776,406503,"Tyson Foods, Inc.",,,23700035899,"BONELESS, SKINLESS CHICKEN BREAST WITH RIB MEAT, WATER, WHEAT FLOUR, BROWN SUGAR, CONTAINS 2% OR LESS OF: CITRIC ACID, DEXTROSE, DRIED GARLIC, DRIED ONION, DRIED YEAST, EXTRACTIVES OF PAPRIKA, MALTODEXTRIN, SALT, SPICE, SUGAR, VINEGAR, YEAST EXTRACT. BREADING SET IN VEGETABLE OIL.",,84.0,g,3 ONZ,Frozen Appetizers & Hors D'oeuvres,LI,,2018-03-11,2019-04-01,United States,,,
95777,406504,"Tyson Foods, Inc.",,,23700038296,"BONELESS CHICKEN BREAST WITH RIB MEAT, RICE FLOUR, WATER, CONTAINS 2% OR LESS OF THE FOLLOWING: CORN STARCH, DRIED GARLIC, DRIED ONION, EXTRACTIVES OF PAPRIKA, NATURAL SEA SALT, OIL OF GARLIC, ROSEMARY EXTRACT, SALT, SPICES (BLACK PEPPER, RED CHILI PEPPER), TORULA YEAST, WHITE PEPPER, XANTHAN GUM, YELLOW CORN FLOUR. BREADING SET IN VEGETABLE OIL.",,90.0,g,5 PIECES,Frozen Appetizers & Hors D'oeuvres,LI,,2018-03-11,2019-04-01,United States,,,
138846,449573,"Tyson Foods, Inc.",,,75620563198,CHICKEN LEG QUARTERS.,,112.0,g,4 ONZ,"Poultry, Chicken & Turkey",LI,,2018-02-03,2019-04-01,United States,,,
138847,449574,"Tyson Foods, Inc.",,,75620619895,CHICKEN LEG QUARTERS.,,112.0,g,4 ONZ,"Poultry, Chicken & Turkey",LI,,2018-02-03,2019-04-01,United States,,,
148514,459241,"Tyson Foods, Inc.",,,43038000130,"GRADE A PASTEURIZED REDUCED FAT MILK, CARAMEL BASE (WATER, SUGAR, SWEETENED CONDENSED MILK, NATURAL FLAVOR, LOCUST BEAN GUM, PECTIN, CARAMEL COLOR, CITRIC ACID, ANNATTO EXTRACT [FOR COLOR]) AND LIVE AND ACTIVE CULTURES",,150.0,g,5.3 ONZ,Yogurt,LI,,2017-11-01,2019-04-01,United States,,,
148664,459391,"Tyson Foods, Inc.",,,23700042965,"CHICKEN BREAST WITH RIB MEAT, WATER, SALT, AND NATURAL FLAVOR. BREADED WITH: WHEAT FLOUR, WATER, SALT, CONTAINS 2% OR LESS OF: YELLOW CORN FLOUR, CORN STARCH, SUGAR, DEXTROSE, DRIED YEAST, DRIED ONION, DRIED GARLIC, SPICE, AND PAPRIKA EXTRACT (COLOR). BREADING SET IN VEGETABLE OIL.",,76.0,g,1 PIECE,Frozen Patties and Burgers,LI,,2018-01-20,2019-04-01,United States,,,
148665,459392,"Tyson Foods, Inc.",,,23700043245,"CHICKEN BREAST TENDERLOINS, WHEAT FLOUR, WATER, CONTAINS 2% OR LESS OF THE FOLLOWING: CITRIC ACID, DRIED EGG WHITES, GARLIC POWDER, LEAVENING (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, MONOCALCIUM PHOSPHATE), LEMON JUICE POWDER (CORN SYRUP SOLIDS, LEMON JUICE SOLIDS, LEMON OIL, BHT), MODIFIED FOOD STARCH, OLEORESINS PAPRIKA AND TURMERIC, ONION POWDER, SALT, SODIUM PHOSPHATES, SPICE EXTRACTIVES, SPICES, SUGAR, WHEAT GLUTEN, YELLOW CORN FLOUR.",,112.0,g,4 ONZ,Frozen Appetizers & Hors D'oeuvres,LI,,2018-01-20,2019-04-01,United States,,,
148666,459393,"Tyson Foods, Inc.",,,23700043351,"BONELESS, SKINLESS CHICKEN BREAST CHUNKS WITH RIB MEAT, WATER, WHEAT FLOUR, BROWN SUGAR, CORN SYRUP, SUGAR, BLEACHED WHEAT FLOUR, CONTAINS 2% OR LESS OF THE FOLLOWING: DEXTROSE, DISTILLED VINEGAR, DRIED YEAST, EXTRACTIVES OF GARLIC AND ONION, EXTRACTIVES OF PAPRIKA, GARLIC POWDER, HIGH FRUCTOSE CORN SYRUP, HONEY, LEAVENING (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE), MODIFIED CORN STARCH, MUSTARD (DISTILLED VINEGAR, WATER, MUSTARD SEED, SALT, TURMERIC, PAPRIKA, SPICE, GARLIC POWDER), NATURAL SMOKE FLAVOR, ONION POWDER, PAPRIKA, POLYSORBATE 80, SALT, SMOKE FLAVOR, SODIUM BENZOATE (AS A PRESERVATIVE), SODIUM PHOSPHATES, SOYBEAN OIL, SPICE EXTRACTIVES, SPICES, TOMATO PASTE, XANTHAN GUM, YELLOW CORN FLOUR. BREADING SET IN VEGETABLE OIL.",,84.0,g,3 ONZ,Frozen Appetizers & Hors D'oeuvres,LI,,2018-01-25,2019-04-01,United States,,,
176367,487094,"Tyson Foods, Inc.",,,75620496649,"ALL NATURAL* CHICKEN BROTH INGREDIENTS: CHICKEN BROTH, SEA SALT, NATURAL FLAVORINGS.",,112.0,g,4 ONZ,"Poultry, Chicken & Turkey",LI,,2017-11-01,2019-04-01,United States,,,
176369,487096,"Tyson Foods, Inc.",,,75620556190,"CHICKEN BROTH, SEA SALT, NATURAL FLAVORINGS.",,168.0,g,1 PIECE,"Poultry, Chicken & Turkey",LI,,2017-07-14,2019-04-01,United States,,,
176370,487097,"Tyson Foods, Inc.",,,75620596646,"CHICKEN BROTH, SEA SALT, NATURAL FLAVORINGS.",,112.0,g,4 ONZ,"Poultry, Chicken & Turkey",LI,,2017-07-14,2019-04-01,United States,,,
178861,489588,"Tyson Foods, Inc.",,,11200000158,"CHICKEN BREAST WITH RIB MEAT, WATER, TEXTURED SOY PROTEIN CONCENTRATE, SALT, SODIUM PHOSPHATES, SPICE EXTRACTIVES. BREADED WITH: BLEACHED WHEAT FLOUR, WATER, MODIFIED FOOD STARCH, YELLOW CORN FLOUR, WHEAT FLOUR, SALT, DEXTROSE, LEAVENING (SODIUM ALUMINUM PHOSPHATE, SODIUM BICARBONATE), SPICE, EXTRACTIVES OF PAPRIKA AND TURMERIC, OLEORESIN TURMERIC, NATURAL FLAVOR. BREADING SET IN VEGETABLE OIL.",,79.0,g,4 PIECES,Frozen Appetizers & Hors D'oeuvres,LI,,2018-07-06,2019-04-01,United States,,,
178869,489596,"Tyson Foods, Inc.",,,23700512451,"CHICKEN WING SECTIONS, WATER, WHEAT FLOUR, MODIFIED FOOD STARCH, SODIUM PHOSPHATES, SALT. COATED WITH: WATER, SUGAR, TOMATO PASTE, DISTILLED VINEGAR, HONEY, MOLASSES, MODIFIED CORN STARCH, SALT, SPICES, SMOKE FLAVOR, CARAMEL COLOR, GARLIC POWDER, ONION POWDER, XANTHAN GUM, CORN SYRUP SOLIDS, LEMON JUICE, LEMON OIL. BLANCHED IN VEGETABLE OIL.",,84.0,g,3 ONZ,Frozen Appetizers & Hors D'oeuvres,LI,,2018-02-08,2019-04-01,United States,,,
178879,489606,"Tyson Foods, Inc.",,,11200000165,"CHICKEN BREAST WITH RIB MEAT, WATER, TEXTURED SOY PROTEIN CONCENTRATE, SALT, SODIUM PHOSPHATES, SPICE EXTRACTIVES. BREADED WITH: BLEACHED WHEAT FLOUR, WATER, MODIFIED FOOD STARCH, YELLOW CORN FLOUR, WHEAT FLOUR, SALT, DEXTROSE, LEAVENING (SODIUM ALUMINUM PHOSPHATE, SODIUM BICARBONATE), SPICE, EXTRACTIVES OF PAPRIKA AND TURMERIC, OLEORESIN TURMERIC, NATURAL FLAVOR. BREADING SET IN VEGETABLE OIL.",,83.0,g,1 PIECE,Frozen Patties and Burgers,LI,,2017-07-14,2019-04-01,United States,,,
178885,489612,"Tyson Foods, Inc.",,,23700038432,"BONELESS, SKINLESS CHICKEN BREAST WITH RIB MEAT, WATER, CONTAINS 2% OR LESS OF: BLACK PEPPER, CHICKEN FLAVOR, DEXTROSE, GARLIC POWDER, MALTODEXTRIN, MOLASSES, ONION POWDER, RICE STARCH, SALT AND SUGAR.",,84.0,g,3 ONZ,Frozen Appetizers & Hors D'oeuvres,LI,,2018-01-31,2019-04-01,United States,,,
192610,503337,"Tyson Foods, Inc.",,,23700034939,"BREADED CHICKEN PATTIE: BONELESS CHICKEN BREAST WITH RIB MEAT, WATER, SODIUM PHOSPHATES, SALT, GROUND WHITE PEPPER, OIL OF GARLIC. BREADED WITH: BLEACHED WHEAT FLOUR, WATER, WHEAT FLOUR, SALT, SPICES, DRIED GARLIC, DRIED ONION, HYDROLYZED CORN GLUTEN, DEXTROSE, SOYBEAN OIL, DRIED YEAST, LEAVENING (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE), AND PAPRIKA EXTRACT (COLOR). BREADING SET IN VEGETABLE OIL. BUN: ENRICHED BLEACHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, SUGAR, VEGETABLE SHORTENING (PALM OIL & FRACTIONATED PALM OIL), YEAST, CONTAINS LESS THAN 2% OF EACH OF THE FOLLOWING: MONO- & DIGLYCERIDES, GUAR GUM, WHEAT GLUTEN, CALCIUM PROPIONATE PRESERVATIVE, DOUGH CONDITIONER BLEND (CONTAIN SULFATE, SOY FLOUR, CALCIUM CARBONATE, ASCORBIC ACID, AMMONIUM SULFATE, L-CYSTEINE, POTASSIUM IODATE, AZODICARBONAMIDE, ENZYME), SODIUM STEAROYL LACTYLATE, CORN SYRUP SOLIDS, OAT FIBER, DEGERMINATED YELLOW CORN FLOUR, DEXTROSE, SODIUM ALGINATE, TURMERIC COLOR, XANTHAN GUM, ENZYMES, PAPRIKA, COLOR, PROPIONIC ACID, PHOSPHORIC ACID, NATURAL & ARTIFICIAL FLAVORS. ",,146.0,g,1 PACKAGE,Frozen Appetizers & Hors D'oeuvres,LI,,2018-06-30,2019-04-01,United States,,,
194382,505109,"Tyson Foods, Inc.",,,23700051172,"CHUNK WHITE CHICKEN, WATER, SALT, MODIFIED FOOD STARCH, RICE STARCH, SODIUM PHOSPHATES, ROASTED CHICKEN FLAVOR (MALTODEXTRIN, NATURAL FLAVORING, AUTOLYZED YEAST EXTRACT, SALT, YEAST EXTRACT), POWDERED COOKED CHICKEN WITH NATURAL FLAVOR.",,56.0,g,2 ONZ,"Frozen Poultry, Chicken & Turkey",LI,,2017-07-14,2019-04-01,United States,,,
194383,505110,"Tyson Foods, Inc.",,,23700035882,"BONELESS, SKINLESS CHICKEN BREAST WITH RIB MEAT, WATER, CONTAINS 2% OR LESS OF: BLACK PEPPER, CHICKEN FLAVOR, DEXTROSE, GARLIC POWDER, MALTODEXTRIN, MOLASSES, ONION POWDER, RICE STARCH, SALT, AND SUGAR.",,84.0,g,3 ONZ,Frozen Appetizers & Hors D'oeuvres,LI,,2017-07-14,2019-04-01,United States,,,
194386,505113,"Tyson Foods, Inc.",,,23700040060,"BONELESS, SKINLESS CHICKEN THIGHS, WHEAT FLOUR, WATER, CHICKEN BROTH, CONTAINS 2% OR LESS OF THE FOLLOWING: CELERY SEED, DEXTROSE, EXTRACTIVES OF PAPRIKA AND ANNATTO, FLAVORINGS, GARLIC POWDER, MALTODEXTRIN, MODIFIED FOOD STARCH, NATURAL FLAVORS, SALT, SODIUM PHOSPHATES, SPICE, WHEAT GLUTEN, XANTHAN GUM. BREADING SET IN VEGETABLE OIL.",,112.0,g,4 ONZ,Frozen Appetizers & Hors D'oeuvres,LI,,2018-01-31,2019-04-01,United States,,,
194389,505116,"Tyson Foods, Inc.",,,23700018656,"BONELESS, SKINLESS CHICKEN BREAST STRIPS WITH RIB MEAT, CHICKEN BROTH, BLEACHED WHEAT FLOUR, VINEGAR, AGED CAYENNE PEPPERS, WHEAT FLOUR, SALT, LESS THAN 2 PERCENT OF THE FOLLOWING: MODIFIED CORN STARCH, SPICES, MALTODEXTRIN, YELLOW CORN FLOUR, SODIUM PHOSPHATES, MODIFIED TAPIOCA STARCH, VINEGAR POWDER (MALTODEXTRIN, MODIFIED FOOD STARCH, AND VINEGAR), SODIUM DIACETATE, DEXTROSE, SUGAR, DEHYDRATED ONION, DEHYDRATED GARLIC, XANTHAN GUM, YEAST, GUAR GUM, SPICE EXTRACTIVES, CARAMEL COLOR, OLEORESIN PAPRIKA, CAROB BEAN GUM, NATURAL FLAVOR, LEAVENING (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE), ONION POWDER, POLYSORBATE 80, EXTRACTIVES OF PAPRIKA AND GRANULATED GARLIC. BREADING SET IN VEGETABLE OIL.",,84.0,g,3 ONZ,Frozen Appetizers & Hors D'oeuvres,LI,,2018-01-31,2019-04-01,United States,,,
194392,505119,"Tyson Foods, Inc.",,,23700036391,"BONELESS, SKINLESS CHICKEN BREAST WITH RIB MEAT, ENRICHED BLEACHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), PASTEURIZED PROCESS MOZZARELLA AND AMERICAN CHEESE PRODUCT {[LOW MOISTURE PART-SKIM MOZZARELLA CHEESE (PART-SKIM MILK, CHEESE CULTURE, SALT, ENZYMES), AMERICAN CHEESE (MILK, CHEESE CULTURE, SALT, ENZYMES), WATER, CREAM, SODIUM PHOSPHATE, SALT, SORBIC ACID (PRESERVATIVE)], POTATO STARCH AND POWDERED CELLULOSE (TO PREVENT CAKING), NATAMYCIN (A NATURAL MOLD INHIBITOR)}, WATER, CHEESE NEUFCHATEL (PASTEURIZED MILK AND CREAM, CHEESE CULTURE, SALT, CAROB BEAN GUM), WHEAT FLOUR. CONTAINS 2% OR LESS OF THE FOLLOWING: ANNATTO EXTRACT (COLOR), AUTOLYZED YEAST EXTRACT, BUTTER (CREAM, SALT), CHEDDAR CHEESE (PASTEURIZED MILK, CHEESE CULTURES, SALT, ENZYMES), CITRIC ACID, CORN STARCH, DISODIUM PHOSPHATE, DRIED CHICKEN BROTH, DRIED GARLIC, DRIED ONION, DRIED WHEY, DRIED YEAST, FLAVOR (CANOLA OIL, YEAST EXTRACT, NATURAL FLAVOR, SUNFLOWER LECITHIN), GUM ARABIC, LESS THAN 2% CALCIUM STEARATE TO PREVENT CAKING, LIPOLYZED BUTTER OIL, MALTODEXTRIN, NATURAL FLAVORS, NONFAT MILK, PAPRIKA EXTRACT (COLOR), SALT, SODIUM CASEINATE, SPICES, SUGAR, TORULA YEAST, TURMERIC EXTRACT (COLOR), XANTHAN GUM, YEAST EXTRACT, YELLOW 5, YELLOW 6, YELLOW CORN FLOUR. BREADING SET IN VEGETABLE OIL.",,79.0,g,4 PIECES,Frozen Appetizers & Hors D'oeuvres,LI,,2018-09-26,2019-04-01,United States,,,
194394,505121,"Tyson Foods, Inc.",,,23700612342,"ALL NATURAL* CHICKEN BROTH INGREDIENTS: CHICKEN BROTH, SALT, NATURAL FLAVORINGS.",,112.0,g,4 ONZ,Frozen Appetizers & Hors D'oeuvres,LI,,2018-01-24,2019-04-01,United States,,,
194396,505123,"Tyson Foods, Inc.",,,23700000699,"WHITE MEAT CHICKEN, BLEACHED WHEAT FLOUR, WATER, WHEAT FLOUR, MODIFIED CORN STARCH, CONTAINS 2% OR LESS OF THE FOLLOWING: ANNATTO EXTRACT (COLOR), DEXTROSE, DISODIUM INOSINATE AND DISODIUM GUANYLATE, DRIED GARLIC, DRIED ONION, DRIED YEAST, HYDROLYZED CORN GLUTEN, LEAVENING (SODIUM BICARBONATE, SODIUM ACID PYROPHOSPHATE, SODIUM ALUMINUM PHOSPHATE, MONOCALCIUM PHOSPHATE), PAPRIKA EXTRACT (COLOR), SALT, SODIUM ALGINATE, SODIUM PHOSPHATES, SOYBEAN OIL, SPICES, SUGAR, YELLOW CORN FLOUR. FRIED IN VEGETABLE OIL.",,90.0,g,7 Pieces,Frozen Appetizers & Hors D'oeuvres,LI,,2017-07-14,2019-04-01,United States,,,
194400,505127,"Tyson Foods, Inc.",,,23700062321,"CHICKEN BROTH, SALT, NATURAL FLAVORINGS.",,112.0,g,4 ONZ,Frozen Appetizers & Hors D'oeuvres,LI,,2017-11-01,2019-04-01,United States,,,
